x_mm,y_mm,z_mm
7.900000000000000000e+01,7.100000000000000000e+01,4.060000000000000000e+02
7.600000000000000000e+01,8.300000000000000000e+01,4.040000000000000000e+02
7.200000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
3.000000000000000000e+00,6.000000000000000000e+01,4.340000000000000000e+02
7.800000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
5.400000000000000000e+01,5.000000000000000000e+00,4.440000000000000000e+02
6.900000000000000000e+01,8.600000000000000000e+01,2.620000000000000000e+02
7.500000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.080000000000000000e+02
7.800000000000000000e+01,8.200000000000000000e+01,4.070000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.040000000000000000e+02
8.200000000000000000e+01,7.600000000000000000e+01,4.080000000000000000e+02
7.300000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.700000000000000000e+01,2.360000000000000000e+02
7.200000000000000000e+01,6.600000000000000000e+01,2.660000000000000000e+02
7.900000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.060000000000000000e+02
7.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.200000000000000000e+01,4.070000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
