number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,state
35,-1.0,2026-06-29 17:11:11.945205,2026-06-29 17:11:12.083046,0 days 00:00:00.137841,411.06247683536753,365.0351003866215,724.7432593873248,645.1317468432447,66.57189243052028,-865.705786047834,-505.8306871684729,508.7059836170782,COMPLETE
36,-1.0,2026-06-29 17:11:12.098403,2026-06-29 17:11:12.229298,0 days 00:00:00.130895,-317.5896641029081,-155.59133697367406,838.5835992327106,910.3513217936959,277.2847797595138,-107.20467398014148,-71.86970203848824,199.7489046886492,COMPLETE
37,-1.0,2026-06-29 17:11:12.243289,2026-06-29 17:11:12.375014,0 days 00:00:00.131725,-192.95134931609573,-348.6893581335942,-348.7246051408165,534.1826004935984,-442.1989977013791,721.9150031768645,-727.2503873213933,-243.46276944090687,COMPLETE
38,-1.0,2026-06-29 17:11:12.390564,2026-06-29 17:11:12.523963,0 days 00:00:00.133399,-992.6476190828687,606.9060256665907,-488.1802852085708,789.6435810014757,-657.4445454508023,401.0272210841116,966.9442710376541,-11.323455637343692,COMPLETE
39,-1.0,2026-06-29 17:11:12.541916,2026-06-29 17:11:12.679809,0 days 00:00:00.137893,-817.4384274706255,230.21928712172792,577.1484345942284,-347.1040540630236,752.5527776895144,-353.26608413091765,62.37348810483148,-418.49311710988894,COMPLETE
40,-1.0,2026-06-29 17:11:12.694774,2026-06-29 17:11:12.829239,0 days 00:00:00.134465,-468.5506961931501,370.354609152481,477.3510451429584,-801.0832184553249,437.6054276550203,-764.6072332707755,-600.2299099203946,-849.231966461461,COMPLETE
41,-1.0,2026-06-29 17:11:12.845444,2026-06-29 17:11:12.978068,0 days 00:00:00.132624,-691.7201760501008,-964.2465174634062,-137.01327634219086,-504.14838555027234,147.9831792029232,218.4287732561539,-863.1143726362607,-137.01742061687372,COMPLETE
42,-1.0,2026-06-29 17:11:12.994024,2026-06-29 17:11:13.121042,0 days 00:00:00.127018,-883.3339194299019,-622.3990783436266,41.72816192959664,78.55170230413074,328.5686361450452,366.90407423038926,-753.1102968309608,-527.0380018668661,COMPLETE
43,-1.0,2026-06-29 17:11:13.136080,2026-06-29 17:11:13.266788,0 days 00:00:00.130708,858.3811301166709,-793.0942473636169,-553.1609303742607,-972.9079735036863,548.1419934390359,-23.093148523711562,-467.6222772855676,-280.523196444328,COMPLETE
44,-1.0,2026-06-29 17:11:13.286209,2026-06-29 17:11:13.427339,0 days 00:00:00.141130,-682.4849757854987,454.41954381471396,330.1943583594427,-269.6994201199431,-139.71512111919782,93.32427888699901,-933.3154286205665,-618.4397334130624,COMPLETE
45,-1.0,2026-06-29 17:11:13.443327,2026-06-29 17:11:13.577919,0 days 00:00:00.134592,-433.29167626873596,686.2068807717183,889.3837187204763,-104.90118914984797,102.62074008968636,973.1195087519466,-759.3490287347163,-361.7416875505982,COMPLETE
46,-1.0,2026-06-29 17:11:13.595747,2026-06-29 17:11:13.731069,0 days 00:00:00.135322,565.8061557422819,-871.9785393286209,-345.76193977898566,317.98866729669254,-325.1296947255811,-631.2308449813296,834.1914973540477,117.1129094152995,COMPLETE
47,-1.0,2026-06-29 17:11:13.748024,2026-06-29 17:11:13.876994,0 days 00:00:00.128970,690.6472512179172,-611.962901870556,-251.1028158413797,-313.6894921025062,-37.664185763632986,578.851776652776,511.31820599368405,-732.7552578953768,COMPLETE
48,-1.0,2026-06-29 17:11:13.893973,2026-06-29 17:11:14.025648,0 days 00:00:00.131675,899.8874859825503,-130.99468198683212,-90.04158008843719,-558.4182580219507,-178.14418226447685,461.7553211991086,-351.7933323799101,299.1043068145175,COMPLETE
49,-1.0,2026-06-29 17:11:14.041096,2026-06-29 17:11:14.176206,0 days 00:00:00.135110,-647.2419248833337,-423.0005175738977,211.57906144212365,-400.60362854224604,-787.7779625725345,686.2950146103232,395.77915291343993,-194.85084539936068,COMPLETE
