x_mm,y_mm,z_mm
7.000000000000000000e+01,6.600000000000000000e+01,2.500000000000000000e+02
7.000000000000000000e+01,7.600000000000000000e+01,4.080000000000000000e+02
7.900000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
1.510000000000000000e+02,7.000000000000000000e+01,4.380000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.060000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.060000000000000000e+02
1.500000000000000000e+02,6.800000000000000000e+01,4.380000000000000000e+02
7.800000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.700000000000000000e+01,7.300000000000000000e+01,2.560000000000000000e+02
7.000000000000000000e+01,7.900000000000000000e+01,4.050000000000000000e+02
1.500000000000000000e+02,6.500000000000000000e+01,4.440000000000000000e+02
1.440000000000000000e+02,4.600000000000000000e+01,4.330000000000000000e+02
7.200000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
1.390000000000000000e+02,3.600000000000000000e+01,4.490000000000000000e+02
